degree,workers,gen_time,serial_time,parallel_time
1000,1,9.7e-05,0.003188,0.004265
1000,1,0.000101,0.003146,0.004197
1000,1,0.000109,0.003366,0.004162
1000,1,9.9e-05,0.003204,0.004474
1000,2,0.0001,0.003754,0.002384
1000,2,0.000206,0.003289,0.002206
1000,2,9.7e-05,0.003181,0.002389
1000,2,9.9e-05,0.003178,0.002284
1000,3,9.7e-05,0.004843,0.001649
1000,3,0.000102,0.003261,0.00175
1000,3,9.7e-05,0.003175,0.002119
1000,3,0.0001,0.003167,0.001712
1000,4,9.7e-05,0.003178,0.002351
1000,4,0.0001,0.003289,0.001369
1000,4,0.0001,0.004291,0.00229
1000,4,0.0001,0.003216,0.001879
1000,5,9.9e-05,0.0031,0.001862
1000,5,0.000103,0.003106,0.002276
1000,5,9.9e-05,0.003177,0.001971
1000,5,0.000101,0.003208,0.002812
1000,6,0.0001,0.003078,0.001744
1000,6,0.000101,0.003263,0.001832
1000,6,9.9e-05,0.003212,0.00256
1000,6,9.9e-05,0.003102,0.002305
1000,7,0.000101,0.003045,0.001504
1000,7,0.000101,0.003308,0.003665
1000,7,0.000117,0.003116,0.002894
1000,7,0.000105,0.003062,0.001523
1000,8,0.0001,0.003812,0.003617
1000,8,0.000101,0.003072,0.002609
1000,8,0.000103,0.003463,0.001765
1000,8,0.000102,0.003229,0.002404
10000,1,0.000676,0.311162,0.38618
10000,1,0.000651,0.30163,0.382416
10000,1,0.000664,0.30864,0.378618
10000,1,0.00065,0.30411,0.383958
10000,2,0.000679,0.300536,0.199549
10000,2,0.000653,0.299962,0.196218
10000,2,0.000649,0.297886,0.196198
10000,2,0.000657,0.305178,0.193734
10000,3,0.000652,0.298188,0.132909
10000,3,0.000668,0.29962,0.132677
10000,3,0.000695,0.299325,0.132455
10000,3,0.000681,0.30096,0.137371
10000,4,0.000747,0.302075,0.103183
10000,4,0.000712,0.46727,0.165708
10000,4,0.000653,0.38264,0.108499
10000,4,0.000677,0.309215,0.106702
10000,5,0.000678,0.332414,0.120272
10000,5,0.000669,0.31747,0.130757
10000,5,0.000667,0.305639,0.132779
10000,5,0.000675,0.315674,0.131039
10000,6,0.000679,0.30452,0.121119
10000,6,0.000667,0.305868,0.108241
10000,6,0.000667,0.316287,0.120346
10000,6,0.000653,0.317096,0.103459
10000,7,0.000713,0.299926,0.128872
10000,7,0.000717,0.342068,0.149433
10000,7,0.000676,0.369873,0.114266
10000,7,0.000677,0.31906,0.108071
10000,8,0.000658,0.310734,0.116558
10000,8,0.000653,0.304067,0.106632
10000,8,0.000655,0.309079,0.105163
10000,8,0.000701,0.301608,0.104629
100000,1,0.006336,31.101856,37.777783
100000,2,0.006445,30.13898,19.336098
100000,4,0.006532,30.092715,10.393424
100000,8,0.006552,30.61364,10.342327
