degree,workers,gen_mean,serial_mean,parallel_mean,serial_min_per_degree,speedup
1000,1,0.0001015,0.0032259999999999997,0.0042745,0.00313275,0.7328927359925138
1000,2,0.0001255,0.0033504999999999997,0.00231575,0.00313275,1.3528014682068443
1000,3,9.9e-05,0.0036115,0.0018075,0.00313275,1.733195020746888
1000,4,9.925e-05,0.0034935,0.00197225,0.00313275,1.5884142476866523
1000,5,0.0001005,0.00314775,0.00223025,0.00313275,1.404663154354893
1000,6,9.975e-05,0.00316375,0.00211025,0.00313275,1.484539746475536
1000,7,0.000106,0.00313275,0.0023965,0.00313275,1.3072188608387232
1000,8,0.0001015,0.003394,0.00259875,0.00313275,1.2054834054834056
10000,1,0.00066025,0.3063855,0.382793,0.29952325,0.782467939591372
10000,2,0.0006595,0.3008905,0.19642475,0.29952325,1.524875302119514
10000,3,0.000674,0.29952325,0.133853,0.29952325,2.2377029278387486
10000,4,0.00069725,0.3653,0.12102299999999999,0.29952325,2.47492831941036
10000,5,0.00067225,0.31779925,0.12871175,0.29952325,2.3270855224950324
10000,6,0.0006665,0.31094275,0.11329125,0.29952325,2.6438339236260524
10000,7,0.00069575,0.33273175,0.1251605,0.29952325,2.393113242596506
10000,8,0.00066675,0.306372,0.1082455,0.29952325,2.7670734580190404
100000,1,0.006336,31.101856,37.777783,30.092715,0.7965717575327276
100000,2,0.006445,30.13898,19.336098,30.092715,1.5562971908810144
100000,4,0.006532,30.092715,10.393424,30.092715,2.895361047523896
100000,8,0.006552,30.61364,10.342327,30.092715,2.9096657841122218
